i,bplus_s,brute_s
325,4.409001121530309e-06,6.612001016037539e-06
326,2.8150006983196363e-06,6.412999937310815e-06
327,2.755001332843676e-06,6.652999218204059e-06
328,4.187999365967698e-06,6.532000043080188e-06
329,2.885999492718838e-06,5.612600034510251e-05
330,2.5350000214530155e-06,6.852998922113329e-06
331,2.484999640728347e-06,6.612999641220085e-06
332,5.881000106455758e-06,6.381998900906183e-06
333,2.554999809945002e-06,6.772999768145382e-06
334,3.5270004445919767e-06,6.733000191161409e-06
335,2.655000571394339e-06,6.6829998104367405e-06
336,2.755001332843676e-06,6.573000064236112e-06
337,2.4239998310804367e-06,6.612999641220085e-06
338,2.5650006136856973e-06,6.663000021944754e-06
339,2.515000232961029e-06,6.6230004449607804e-06
340,5.099000190966763e-06,6.672000381513499e-06
341,3.7369991332525387e-06,6.743000994902104e-06
342,5.249999958323315e-06,7.0930000219959766e-06
343,3.656999979284592e-06,7.022999852779321e-06
344,2.5249992177123204e-06,6.903001121827401e-06
345,2.40400004258845e-06,6.792999556637369e-06
346,2.6849993446376175e-06,6.512000254588202e-06
347,4.92899926030077e-06,7.202999768196605e-06
348,3.6370001907926053e-06,7.043001460260712e-06
349,2.6749985408969223e-06,6.861999281682074e-06
350,2.8649992600549012e-06,6.9329998950706795e-06
351,2.694998329388909e-06,6.95300150255207e-06
352,4.317998900660314e-06,7.062999429763295e-06
353,4.257999535184354e-06,7.144000846892595e-06
354,2.775001121335663e-06,6.973001291044056e-06
355,2.6649995561456308e-06,7.07300023350399e-06
356,2.775001121335663e-06,6.812999345129356e-06
357,2.46399940806441e-06,6.943000698811375e-06
358,8.074999641394243e-06,7.084001481416635e-06
359,2.7149999368702993e-06,7.0529986260226e-06
360,3.0159990274114534e-06,7.313999958569184e-06
361,2.495000444469042e-06,7.053000445012003e-06
362,1.9908000467694364e-05,6.972999472054653e-06
363,4.5289998524822295e-06,7.254000593093224e-06
364,3.076000211876817e-06,7.032998837530613e-06
365,5.380001312005334e-06,7.2429993451805785e-06
366,2.9660004656761885e-06,7.413998901029117e-06
367,4.207999154459685e-06,7.152999387471937e-06
368,3.225999535061419e-06,7.373999324045144e-06
369,2.755001332843676e-06,7.454000297002494e-06
370,2.826000127242878e-06,7.213999197119847e-06
371,2.8050017135683447e-06,7.164000635384582e-06
372,2.554999809945002e-06,7.3239989433204755e-06
373,6.42200029687956e-06,7.1829999797046185e-06
374,2.8960002964595333e-06,7.373999324045144e-06
375,3.938001100323163e-06,7.414000720018521e-06
376,4.008001269539818e-06,7.454000297002494e-06
377,4.0979994082590565e-06,7.313999958569184e-06
378,3.9979986468097195e-06,7.5240004662191495e-06
379,4.177998562227003e-06,7.213999197119847e-06
380,2.875998688978143e-06,7.273998562595807e-06
381,2.615000994410366e-06,7.343998731812462e-06
382,4.0979994082590565e-06,7.414000720018521e-06
383,4.998999429517426e-06,6.812999345129356e-06
384,3.256000127294101e-06,7.443999493261799e-06
385,7.90499871072825e-06,7.534001269959845e-06
386,2.826000127242878e-06,7.394000931526534e-06
387,8.786999387666583e-06,7.603999620187096e-06
388,2.8760005079675466e-06,7.353999535553157e-06
389,2.8750000637955964e-06,7.504000677727163e-06
390,2.804999894578941e-06,7.493999873986468e-06
391,2.675000359886326e-06,7.684999218326993e-06
392,2.755001332843676e-06,7.72400017012842e-06
393,4.027999239042401e-06,7.58399983169511e-06
394,3.2960015232674778e-06,7.2130005719373e-06
395,3.135999577352777e-06,1.1571000868570991e-05
396,2.7950009098276496e-06,7.744998583802953e-06
397,4.368999725556932e-06,7.92500031820964e-06
398,4.0169998101191595e-06,7.864999133744277e-06
399,2.8850008675362915e-06,7.673999789403751e-06
400,3.0460014386335388e-06,7.594000635435805e-06
401,4.538000212050974e-06,7.76499837229494e-06
402,3.0560004233848304e-06,7.695000022067688e-06
403,7.684999218326993e-06,7.775000995025039e-06
404,4.969000656274147e-06,8.054999852902256e-06
405,4.237999746692367e-06,7.78499997977633e-06
406,3.0259998311521485e-06,7.774000550853088e-06
407,6.222000592970289e-06,7.743999958620407e-06
408,2.6859997888095677e-06,8.104998414637521e-06
409,1.0280000424245372e-05,7.745000402792357e-06
410,1.1191999874426983e-05,7.78499997977633e-06
411,3.256000127294101e-06,7.444001312251203e-06
412,3.0159990274114534e-06,7.884998922236264e-06
413,7.3640003392938524e-06,7.945000106701627e-06
414,2.9349994292715564e-06,7.995000487426296e-06
415,2.8650010790443048e-06,8.064998837653548e-06
416,3.9880014810478315e-06,8.536000677850097e-06
417,3.1260005926014856e-06,7.954999091452919e-06
418,3.2059997465694323e-06,7.995000487426296e-06
419,4.067000190843828e-06,8.085000445134938e-06
420,2.884999048546888e-06,8.025001079658978e-06
421,2.8760005079675466e-06,8.03600050858222e-06
422,4.6290006139315665e-06,8.165001418092288e-06
423,3.03599881590344e-06,8.23499976831954e-06
424,2.854998456314206e-06,8.134999006870203e-06
425,2.544999006204307e-06,8.426000931649469e-06
426,2.7350015443516895e-06,8.105000233626924e-06
427,2.7149999368702993e-06,8.185999831766821e-06
428,2.655000571394339e-06,8.15499879536219e-06
429,4.328001523390412e-06,8.125000022118911e-06
430,2.6950001483783126e-06,8.144999810610898e-06
431,2.6050001906696707e-06,8.224998964578845e-06
432,6.262000169954263e-06,8.216000423999503e-06
433,4.639799954020418e-05,7.763999747112393e-06
434,5.070000042906031e-06,8.23499976831954e-06
435,5.921001502429135e-06,8.385999535676092e-06
436,3.0259998311521485e-06,8.25500137580093e-06
437,4.0380000427830964e-06,8.62600063555874e-06
438,3.225999535061419e-06,8.596000043326057e-06
439,3.055998604395427e-06,8.396000339416787e-06
440,1.3065000530332327e-05,8.346001777681522e-06
441,3.0960000003688037e-06,8.586001058574766e-06
442,4.318999344832264e-06,8.295000952784903e-06
443,3.315999492770061e-06,8.445998901152052e-06
444,3.0159990274114534e-06,8.446000720141456e-06
445,4.587998773786239e-06,8.566999895265326e-06
446,3.155999365844764e-06,8.545999662601389e-06
447,2.7050009521190077e-06,8.705999789526686e-06
448,3.055998604395427e-06,8.585999239585362e-06
449,2.8349986678222194e-06,8.506000085617416e-06
450,3.2059997465694323e-06,8.586001058574766e-06
451,4.849000106332824e-06,8.556000466342084e-06
452,3.05499997921288e-06,8.506000085617416e-06
453,2.905000656028278e-06,8.625998816569336e-06
